Temp ID,ID,Name,Year of initial milestone,Number of stations,Project type,Funding program,City,State,Mode,,,,,,,
530,100,Downtown-Uptown-Oakland-East End BRT Project ,2017,46,Introduction,Small Starts,Pittsburgh,PA,BRT,,,,,,,
532,101,Corridor one Rail MOS,2002,6,Introduction,New Starts,Harrisburg,PA,Commuter rail,,,,,,,
534,102,Schuylkill Valley Metro Rail,2002,20,Introduction,New Starts,Philadelphia,PA,Commuter rail,,,,,,,
537,103,South/North Corridor (MOS-1),1996,20,Introduction,New Starts,Portland,OR,LRT,,,,,,,
539,104,"Portland, Oregon/Westside-Hillsboro Corridor ",1994,20,Introduction,New Starts,Portland,OR,LRT,,,,,,,
546,105,Westside Light Rail to 185th,1992,NAV,Introduction,New Starts,Portland,OR,LRT,NOTE - this was later expanded to become the Westside/Hillsboro Corridor,,,,,,
547,106,South Corridor I-205 / Portland Mall LRT ,2004,22,Expansion,New Starts,Portland,OR,LRT,,,,,,,
550,107,Portland-Milwaukie Light Rail Project,2009,10,Expansion,New Starts,Portland,OR,LRT,,,,,,,
558,108,Columbia River Crossing Project,2009,NAV,Expansion,New Starts,Portland,OR,LRT,"Cost decreased from $3,507.87 million to $2,796.91 million per a local decision to implement the project in phases.",,,,,,
559,109,Columbia River Crossing Project,2014,NAV,Expansion,New Starts,Portland,OR,LRT,"Scope revised to eliminate the highway interchanges north of SR 14 in Washington; capital cost decreased from $2,796.91 million to $2,711.83 million.",,,,,,
560,110,Powell-Division Transit and Development ,2015,NAV,Introduction,Small Starts,Portland,OR,BRT,Project Profile,,,,,,
564,111,TriMet Interstate MAX Light Rail ,1996,,Expansion,Small Starts,Portland,OR,LRT,,,,,,,
567,112,MAX Red Line Extension and Reliability Improvements,2019,,Improvement,Small Starts,Portland,OR,LRT,,,,,,,
568,113,Westside Express Service Rail Project ,2000,5,Introduction,New Starts,Portland,OR,Commuter rail,"AR 2002, Before and After Study 2013",,,,,,
572,114,Green Line Light Rail Project ,2004,,Expansion,New Starts,Portland,OR,LRT,Before and After Study 2014,,,,,,
576,115,Streetcar Loop Project ,2007,28,Expansion,Small Starts,Portland,OR,Streetcar,,,,,,,
580,117,Southwest Corridor Light Rail Transit Project,2019,13,Expansion,New Starts,Portland,OR,LRT,Project profile FY2021,,,,,,
581,118,Pioneer Parkway EmX BRT ,2006,14,Expansion,Small Starts,Springfield,OR,BRT,Annual report 2010,,,,,,
582,119,West Eugene EmX Extension,2012,13,Expansion,Small Starts,Eugene,OR,BRT,,,,,,,
591,120,Cleveland (Euclid Corridor) ,1997,22,Improvement,New Starts,Cleveland,OH,BRT,,,,,,,
602,121,Interstate 71 corridor (MOS-1),1998,24,Introduction,New Starts,Cincinatti,OH,LRT,,,,,,,
604,122,Northeast Corridor BRT Project,2013,,Improvement,Small Starts,Columbus,OH,BRT,,,,,,,
606,123,North Corridor LRT ,2001,14,Introduction,New Starts,Columbus,OH,LRT,,,,,,,
608,124,Cleveland Avenue Bus Rapid Transit,2013,,Improvement,Small Starts,Columbus,OH,BRT,,,,,,,
610,125,"Craig, Alaska (Alaska-Hollis Ketchikan Ferry) ",,1,Introduction,New Starts,Craig,AK,Ferry,,,,,,,
611,126,Alaska Rail Road - South Wasilla Track Realignment ,2000,NA,Improvement,New Starts,Wasilla,AK,Commuter rail,,,,,,,
612,127,South Anchorage Double Track ,2000,NA,Improvement,New Starts,Anchorage,AK,Commuter rail,Aka Alaska Railroad Commuter Rail,,,,,,
619,128,Alaska Marine Highway System ,2001,NA,Improvement,New Starts,Prince William Sound,AK,Ferry,,,,,,,
622,129,Norfolk -Virginia Beach Corridor  (First phase),1997,13,Introduction,New Starts,Norfolk,VA,LRT,,,,,,,
624,130,Norfolk LRT - The Tide Light Rail,2002,11,Expansion,New Starts,Norfolk,VA,LRT,,,,,,,
630,131,West End Transitway,2016,15,Introduction,Small Starts,Alexandria,VA,BRT,,,,,,,
632,132,Richmond Highway BRT Project,2020,9,Introduction,New Starts,Fairfax County,VA,BRT,,,,,,,
633,133,Seattle-Tacoma Sounder Commuter Rail ,1998,8,Introduction,New Starts,Seattle,WA,Commuter rail,Sounder,,,,,,
637,134,Central Link Initial Segment (Initial),1997,11,Introduction,New Starts,Seattle,WA,LRT,,,,,,,
647,135,Roosevelt RapidRide BRT ,2017,13,Expansion,Small Starts,Seattle,WA,BRT,,,,,,,
651,136,University Link LRT Extension,2005,2,Expansion,New Starts,Seattle,WA,LRT,Stations - press release dated 3/18/2016,,,,,,
654,137,Lynnwood Link Extension,2013,4,Expansion,New Starts,Seattle,WA,LRT,AR15,,,,,,
656,138,Center City Connector Streetcar,2014,4,Expansion,Small Starts,Seattle,WA,Streetcar,"*5 stations in AR16, 4 stations in PP20",,,,,,
658,139,Sound Transit-Federal Way Link Extension,2016,3,Expansion,Small Starts,Seattle,WA,LRT,,,,,,,
659,140,Madison Street Corridor BRT,2016,10,Introduction,Small Starts,Seattle,WA,BRT,PP19,,,,,,"USE PROJECT ID TO SIGNIFY RELATED PROJECTS (123, 123a, 123b, 123c)"
665,141,Link Extension and North Link,2003,,Expansion,New Starts,Seattle,WA,LRT,Unclear - may have become Lynnwood Link or University Link,,,,,,
666,142,Airport Link,1997,,Introduction,New Starts,Seattle,WA,LRT,,,,,,,
667,143,North Link,1997,,Introduction,New Starts,Seattle,WA,LRT,,,,,,,
668,144,Everett to Seattle Commuter Rail,2004,7,Introduction,New Starts,Seattle,WA,Commuter rail,Sounder,,,,,,
669,145,Federal Way Link Extension,2016,3,Expansion,New Starts,Seattle,WA,LRT,,,,,,,
672,146,Rapid Ride I,2019,76,Introduction,Small Starts,Seattle,WA,BRT,,,,,,,
673,147,Rapid Ride K,2019,36,Introduction,Small Starts,Seattle,WA,BRT,,,,,,,
675,148,Mill Plain Bus Rapid Transit,2019,21,Introduction,Small Starts,Vancouver,WA,BRT,,,,,,,
676,149,Fourth Plain Bus Rapid Transit,2013,18,Introduction,Small Starts,Vancouver,WA,BRT,,,,,,,
681,150,Swift II,2015,18,Expansion,Small Starts,Everett,WA,BRT,,,,,,,
683,151,Tacoma Link Light Rail Expansion,2014,6,Expansion,Small Starts,Tacoma,WA,LRT,,,,,,,
684,152,Lakewood to Tacoma Commuter Rail,2000,3,Introduction,New Starts,Tacoma,WA,Commuter rail,Sounder,,,,,,
686,153,Pacific Avenue/SR 7 Corridor,2019,32,Introduction,Small Starts,Tacoma,WA,BRT,,,,,,,
687,154,Central City Line,2015,21,Introduction,Small Starts,Spokane,WA,BRT,,,,,,,
688,155,Metra North Central Corridor,1998,5,Expansion,New Starts,Chicago,IL,Commuter rail,,,,,,,
692,156,Metra South West Corridor,1998,2,Expansion,New Starts,Chicago,IL,Commuter rail,,,,,,,
697,157,Central Area Circulator,1994,NAV,Introduction,New Starts,Chicago,IL,LRT,CANCELLED,,,,,,
698,158,Ravenswood Line Extension,1999,19,Improvement,New Starts,Chicago,IL,Heavy rail,,,,,,,
703,159,Ashland Avenue BRT Phase I,2014,14,Introduction,Small Starts,Chicago,IL,BRT,,,,,,,
705,160,Red and Purple Line Modernization Project ,2013,,Improvement,Core Capacity,Chicago,IL,Heavy rail,,,,,,,
706,161,Red and Purple Line Modernization Project Phase I,2014,4,Improvement,Core Capacity,Chicago,IL,Heavy rail,,,,,,,
